Year,Satellite Type,Budget (in Billion $),Success Rate (%),Environmental Impact,Duration (in Days),Num_Collaborators,Tech_Maturity,Budget_Per_Day,Money_Efficiency,Mission Type_Unmanned,Technology Used_Nuclear Propulsion,Technology Used_Reusable Rocket,Technology Used_Solar Propulsion,Technology Used_Traditional Rocket,Country_France,Country_Germany,Country_India,Country_Israel,Country_Japan,Country_Russia,Country_UAE,Country_UK,Country_USA,Tech_Budget_Power
2012,Weather,6.16,56.0,Low,170,1,3.0,0.0360233918128655,1554.5454545454545,False,True,False,False,False,False,False,False,False,False,False,True,False,False,18.48
2003,Navigation,29.32,96.0,High,46,1,3.0,0.6238297872340426,153.88813096862208,False,True,False,False,False,False,True,False,False,False,False,False,False,False,87.96000000000001
2006,Weather,40.82,68.0,High,165,1,1.0,0.24590361445783132,276.531112199902,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40.82
2021,Communication,42.36,85.0,Medium,300,1,2.0,0.14073089700996677,603.989612842304,True,False,False,True,False,False,False,False,False,False,False,False,False,False,84.72
2006,Research,18.51,67.0,High,113,1,2.0,0.1623684210526316,412.64181523500804,False,False,False,True,False,False,False,False,False,False,False,False,False,False,37.02
2021,Communication,38.4,73.0,Medium,12,1,1.0,2.9538461538461536,24.713541666666668,True,False,False,False,False,False,False,False,False,False,False,False,False,False,38.4
2015,Navigation,14.74,60.0,High,26,3,1.0,0.5459259259259259,109.90502035278155,False,False,False,False,True,False,False,False,False,False,False,True,False,False,14.74
2017,Research,14.73,88.0,Low,359,2,1.0,0.04091666666666667,2150.71283095723,True,False,False,False,False,False,True,False,False,False,False,False,False,False,14.73
2004,Weather,23.12,52.0,Low,58,1,2.0,0.39186440677966106,132.69896193771626,False,False,False,True,False,False,True,False,False,False,False,False,False,False,46.24
2006,Navigation,20.4,91.0,Medium,60,1,3.0,0.33442622950819667,272.1078431372549,False,True,False,False,False,False,False,False,False,False,True,False,False,False,61.199999999999996
2004,Weather,48.64,65.0,Low,261,1,1.0,0.18564885496183206,350.1233552631579,True,False,False,False,True,False,False,False,False,False,False,False,False,False,48.64
2024,Weather,2.1,69.0,High,363,2,1.0,0.0057692307692307696,11960.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2.1
2020,Communication,27.42,55.0,Medium,173,3,3.0,0.15758620689655173,349.0153172866521,True,True,False,False,False,False,False,False,False,True,False,False,False,False,82.26
2014,Communication,21.69,92.0,Low,107,2,2.0,0.20083333333333334,458.09128630705396,True,False,False,True,False,False,False,False,False,False,False,False,False,False,43.38
2001,Communication,28.74,85.0,Medium,125,3,1.0,0.22809523809523807,372.651356993737,True,False,False,False,True,False,False,False,True,False,False,False,False,False,28.74
2006,Navigation,16.08,52.0,High,291,2,3.0,0.055068493150684926,944.2786069651743,False,True,False,False,False,False,False,False,False,False,False,False,False,False,48.239999999999995
2023,Navigation,29.93,78.0,Low,278,2,1.0,0.10727598566308244,727.0965586368192,False,False,False,False,True,False,False,False,True,False,False,False,False,False,29.93
2000,Spy,8.22,67.0,Low,62,2,2.0,0.1304761904761905,513.5036496350364,True,False,False,True,False,False,False,False,True,False,False,False,False,False,16.44
2016,Spy,20.27,58.0,Low,27,2,3.0,0.7239285714285714,80.11840157868772,True,True,False,False,False,False,False,False,False,True,False,False,False,False,60.81
2017,Navigation,36.82,77.0,Low,78,1,1.0,0.4660759493670886,165.20912547528516,False,False,False,False,False,False,False,False,True,False,False,False,False,False,36.82
2008,Research,3.79,59.0,Low,238,1,1.0,0.01585774058577406,3720.580474934037,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3.79
2016,Weather,30.87,56.0,Low,172,3,4.0,0.1784393063583815,313.83219954648524,False,False,True,False,False,False,False,False,False,True,False,False,False,False,123.48
2017,Communication,26.76,85.0,High,358,2,2.0,0.07454038997214485,1140.321375186846,True,False,False,True,False,False,False,False,False,False,True,False,False,False,53.52
2011,Weather,17.49,70.0,High,10,2,1.0,1.5899999999999999,44.02515723270441,True,False,False,False,True,False,False,False,False,False,False,True,False,False,17.49
2020,Navigation,31.78,60.0,Low,66,3,2.0,0.47432835820895525,126.49465072372561,False,False,False,True,False,False,True,False,False,False,False,False,False,False,63.56
2021,Research,14.03,99.0,Low,45,3,4.0,0.305,324.59016393442624,False,False,True,False,False,False,False,False,False,False,False,False,True,False,56.12
2017,Weather,1.45,89.0,Low,18,3,3.0,0.07631578947368421,1166.2068965517242,True,True,False,False,False,False,False,False,False,False,False,False,False,False,4.35
2018,Spy,0.83,100.0,Low,17,3,2.0,0.04611111111111111,2168.6746987951806,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.66
2022,Spy,23.61,53.0,Medium,134,2,4.0,0.17488888888888887,303.04955527318936,False,False,True,False,False,True,False,False,False,False,False,False,False,False,94.44
2011,Weather,22.5,93.0,Medium,279,1,3.0,0.08035714285714286,1157.3333333333333,True,True,False,False,False,False,False,False,True,False,False,False,False,False,67.5
2002,Weather,38.78,53.0,Medium,44,2,1.0,0.8617777777777778,61.500773594636414,True,False,False,False,False,False,False,False,False,False,False,False,True,False,38.78
2006,Communication,36.35,61.0,Low,86,2,2.0,0.41781609195402303,145.99724896836312,False,False,False,True,False,False,False,False,False,False,False,True,False,False,72.7
2018,Weather,44.4,65.0,Low,46,3,1.0,0.9446808510638297,68.80630630630631,True,False,False,False,False,False,False,False,True,False,False,False,False,False,44.4
2018,Spy,35.22,99.0,Medium,26,2,1.0,1.3044444444444443,75.89437819420785,False,False,False,False,True,False,False,False,True,False,False,False,False,False,35.22
2013,Communication,30.16,66.0,Medium,157,3,4.0,0.1908860759493671,345.7559681697613,True,False,True,False,False,True,False,False,False,False,False,False,False,False,120.64
2004,Spy,9.31,85.0,Low,93,3,1.0,0.09904255319148937,858.2169709989258,True,False,False,False,True,True,False,False,False,False,False,False,False,False,9.31
2006,Spy,47.04,65.0,Low,12,1,1.0,3.6184615384615384,17.96343537414966,False,False,False,False,False,False,False,True,False,False,False,False,False,False,47.04
2021,Spy,40.12,75.0,Low,116,1,1.0,0.3429059829059829,218.71884346959123,True,False,False,False,True,False,True,False,False,False,False,False,False,False,40.12
2002,Navigation,20.44,58.0,Low,168,1,2.0,0.12094674556213018,479.54990215264183,False,False,False,True,False,False,False,False,False,True,False,False,False,False,40.88
2000,Navigation,47.14,99.0,Medium,86,1,2.0,0.5418390804597701,182.71107339838778,True,False,False,True,False,True,False,False,False,False,False,False,False,False,94.28
2016,Communication,10.26,98.0,Medium,327,2,2.0,0.03128048780487805,3132.943469785575,False,False,False,True,False,True,False,False,False,False,False,False,False,False,20.52
2012,Navigation,31.8,51.0,Low,131,3,2.0,0.2409090909090909,211.69811320754718,False,False,False,True,False,True,False,False,False,False,False,False,False,False,63.6
2005,Spy,8.37,53.0,High,97,3,1.0,0.08540816326530612,620.5495818399045,True,False,False,False,False,True,False,False,False,False,False,False,False,False,8.37
2009,Research,30.86,66.0,Medium,140,3,1.0,0.21886524822695036,301.55541153596886,False,False,False,False,True,False,False,False,True,False,False,False,False,False,30.86
2014,Weather,5.25,71.0,Low,164,2,2.0,0.031818181818181815,2231.4285714285716,False,False,False,True,False,False,False,False,False,False,False,False,False,False,10.5
2024,Spy,40.88,54.0,Low,346,2,1.0,0.11780979827089338,458.36594911937374,True,False,False,False,False,False,False,True,False,False,False,False,False,False,40.88
2023,Weather,34.2,100.0,Low,20,1,2.0,1.6285714285714288,61.403508771929815,True,False,False,True,False,False,False,True,False,False,False,False,False,False,68.4
2012,Spy,32.36,52.0,Medium,171,2,4.0,0.18813953488372093,276.39060568603213,False,False,True,False,False,False,False,False,False,False,False,False,True,False,129.44
2008,Navigation,18.52,88.0,Low,283,1,2.0,0.0652112676056338,1349.4600431965443,False,False,False,True,False,True,False,False,False,False,False,False,False,False,37.04
2022,Research,12.13,92.0,High,125,1,4.0,0.09626984126984127,955.6471558120363,False,False,True,False,False,False,False,True,False,False,False,False,False,False,48.52
2012,Weather,36.43,73.0,High,1,3,3.0,18.215,4.007685973099094,True,True,False,False,False,False,False,False,False,False,False,False,True,False,109.28999999999999
2020,Navigation,9.0,64.0,High,262,3,1.0,0.034220532319391636,1870.2222222222222,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.0
2024,Spy,34.27,81.0,Low,303,2,1.0,0.11273026315789475,718.5293259410562,True,False,False,False,True,True,False,False,False,False,False,False,False,False,34.27
2001,Spy,41.06,66.0,Low,355,1,4.0,0.1153370786516854,572.2357525572334,True,False,True,False,False,False,False,False,False,True,False,False,False,False,164.24
2015,Spy,43.24,77.0,Low,344,1,1.0,0.12533333333333335,614.3617021276594,False,False,False,False,True,False,False,False,False,False,False,True,False,False,43.24
2003,Research,42.87,96.0,High,266,1,1.0,0.160561797752809,597.9006298110567,True,False,False,False,True,False,False,False,False,False,False,False,True,False,42.87
2016,Navigation,32.16,56.0,High,264,1,1.0,0.12135849056603772,461.4427860696518,True,False,False,False,False,False,False,False,False,False,False,False,False,True,32.16
2003,Communication,10.74,59.0,Low,41,3,3.0,0.2557142857142857,230.7262569832402,True,True,False,False,False,False,False,False,False,False,True,False,False,False,32.22
2019,Communication,23.95,73.0,Medium,193,2,2.0,0.12345360824742267,591.3152400835073,False,False,False,True,False,False,False,False,False,False,False,True,False,False,47.9
2019,Communication,33.84,75.0,Medium,362,1,1.0,0.09322314049586777,804.5212765957447,True,False,False,False,True,False,False,False,False,True,False,False,False,False,33.84
2016,Research,41.85,86.0,Low,83,1,4.0,0.4982142857142857,172.61648745519713,False,False,True,False,False,True,False,False,False,False,False,False,False,False,167.4
2021,Navigation,8.4,88.0,Medium,338,3,4.0,0.024778761061946902,3551.4285714285716,False,False,True,False,False,False,False,True,False,False,False,False,False,False,33.6
2019,Research,7.88,70.0,High,55,2,2.0,0.1407142857142857,497.4619289340102,True,False,False,True,False,False,False,False,True,False,False,False,False,False,15.76
2012,Navigation,11.21,51.0,High,42,1,4.0,0.2606976744186047,195.628902765388,False,False,True,False,False,False,False,True,False,False,False,False,False,False,44.84
2004,Research,17.97,89.0,Medium,355,2,2.0,0.05047752808988764,1763.1608235948804,False,False,False,True,False,False,False,False,False,False,False,False,True,False,35.94
2009,Spy,36.96,61.0,High,88,3,1.0,0.4152808988764045,146.88852813852813,False,False,False,False,False,False,False,False,False,True,False,False,False,False,36.96
2020,Communication,33.8,65.0,Medium,76,1,1.0,0.43896103896103894,148.0769230769231,False,False,False,False,True,False,False,True,False,False,False,False,False,False,33.8
2014,Navigation,45.0,94.0,Medium,306,3,4.0,0.1465798045602606,641.2888888888889,False,False,True,False,False,False,False,False,False,False,True,False,False,False,180.0
2024,Navigation,31.15,56.0,Medium,349,1,1.0,0.089,629.2134831460675,False,False,False,False,False,False,False,False,False,False,False,False,True,False,31.15
2018,Navigation,20.17,88.0,Low,362,1,4.0,0.05556473829201102,1583.7382250867624,True,False,True,False,False,False,False,False,False,False,False,False,True,False,80.68
2001,Navigation,45.49,72.0,Medium,27,1,1.0,1.6246428571428573,44.31743240272587,False,False,False,False,True,False,False,False,False,False,False,False,False,False,45.49
2020,Communication,18.6,79.0,Low,90,2,1.0,0.20439560439560442,386.50537634408596,True,False,False,False,True,False,False,False,False,True,False,False,False,False,18.6
2007,Communication,1.99,85.0,High,108,2,1.0,0.018256880733944953,4655.7788944723625,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.99
2022,Communication,22.93,50.0,Low,235,2,2.0,0.09716101694915254,514.6096816397733,False,False,False,True,False,False,False,False,False,False,False,True,False,False,45.86
2023,Navigation,35.41,85.0,High,42,1,3.0,0.8234883720930232,103.21942953967807,True,True,False,False,False,True,False,False,False,False,False,False,False,False,106.22999999999999
2005,Communication,37.34,92.0,Medium,133,3,1.0,0.27865671641791045,330.1553294054633,False,False,False,False,False,False,False,False,True,False,False,False,False,False,37.34
2023,Communication,27.76,60.0,High,183,2,4.0,0.1508695652173913,397.69452449567723,False,False,True,False,False,False,True,False,False,False,False,False,False,False,111.04
2010,Research,11.61,78.0,Low,90,1,1.0,0.1275824175824176,611.3695090439276,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11.61
2017,Research,46.36,60.0,Medium,21,3,1.0,2.1072727272727274,28.472821397756686,False,False,False,False,True,False,False,False,True,False,False,False,False,False,46.36
2017,Spy,46.47,71.0,Medium,265,1,2.0,0.17469924812030074,406.4127394017646,False,False,False,True,False,False,False,False,True,False,False,False,False,False,92.94
2001,Research,48.98,70.0,Low,174,1,1.0,0.2798857142857143,250.10208248264598,True,False,False,False,False,False,False,False,False,False,False,True,False,False,48.98
2014,Weather,26.39,92.0,Medium,237,2,1.0,0.11088235294117647,829.708222811671,True,False,False,False,True,False,True,False,False,False,False,False,False,False,26.39
2001,Weather,7.01,81.0,Medium,33,3,2.0,0.2061764705882353,392.86733238231096,False,False,False,True,False,False,False,False,False,True,False,False,False,False,14.02
2001,Weather,30.84,61.0,Medium,7,2,2.0,3.855,15.82360570687419,True,False,False,True,False,False,False,False,True,False,False,False,False,False,61.68
2015,Communication,0.83,92.0,High,302,3,4.0,0.002739273927392739,33585.5421686747,False,False,True,False,False,False,False,False,False,False,False,False,False,True,3.32
2007,Research,37.72,92.0,High,301,2,1.0,0.12490066225165562,736.5853658536586,True,False,False,False,False,True,False,False,False,False,False,False,False,False,37.72
2021,Communication,17.11,72.0,High,254,2,4.0,0.06709803921568627,1073.0566919929865,True,False,True,False,False,False,False,False,False,False,False,False,True,False,68.44
2009,Navigation,37.28,86.0,High,42,1,1.0,0.8669767441860465,99.19527896995707,False,False,False,False,True,False,False,False,False,False,False,False,True,False,37.28
2020,Navigation,16.03,65.0,High,350,3,4.0,0.04566951566951567,1423.268870867124,True,False,True,False,False,True,False,False,False,False,False,False,False,False,64.12
2017,Research,25.58,75.0,Medium,327,1,2.0,0.07798780487804878,961.6888193901485,False,False,False,True,False,False,True,False,False,False,False,False,False,False,51.16
2019,Research,23.56,69.0,High,315,1,2.0,0.07455696202531645,925.4668930390493,True,False,False,True,False,False,False,False,False,False,False,False,False,True,47.12
2000,Communication,31.06,86.0,Medium,33,3,4.0,0.9135294117647058,94.14037347070187,True,False,True,False,False,False,False,False,False,False,True,False,False,False,124.24
2013,Navigation,14.62,62.0,High,105,2,1.0,0.13792452830188678,449.52120383036936,False,False,False,False,False,False,False,False,False,False,False,True,False,False,14.62
2008,Weather,13.52,91.0,Low,173,2,2.0,0.07770114942528736,1171.1538461538462,False,False,False,True,False,False,True,False,False,False,False,False,False,False,27.04
2003,Navigation,29.44,86.0,High,40,3,3.0,0.718048780487805,119.76902173913042,True,True,False,False,False,True,False,False,False,False,False,False,False,False,88.32000000000001
2015,Navigation,46.22,60.0,Low,122,3,1.0,0.3757723577235772,159.6711380354825,False,False,False,False,False,False,False,False,False,False,True,False,False,False,46.22
2020,Research,3.91,93.0,Low,280,3,1.0,0.013914590747330962,6683.631713554987,True,False,False,False,False,False,False,False,False,False,False,False,True,False,3.91
2001,Spy,37.16,59.0,High,313,2,2.0,0.11834394904458598,498.5468245425189,False,False,False,True,False,False,False,False,False,True,False,False,False,False,74.32
2001,Communication,41.82,67.0,Medium,168,2,1.0,0.24745562130177515,270.7556193208991,True,False,False,False,False,False,True,False,False,False,False,False,False,False,41.82
2018,Spy,13.62,51.0,High,223,3,3.0,0.06080357142857142,838.7665198237886,True,True,False,False,False,False,False,False,False,True,False,False,False,False,40.86
2013,Spy,48.16,58.0,High,278,1,1.0,0.17261648745519712,336.0049833887044,False,False,False,False,True,False,False,False,False,False,False,False,False,False,48.16
2020,Communication,31.15,72.0,Low,148,2,1.0,0.20906040268456375,344.3980738362761,True,False,False,False,True,False,False,False,False,False,False,True,False,False,31.15
2018,Communication,27.81,61.0,Medium,14,2,4.0,1.8539999999999999,32.90183387270766,True,False,True,False,False,False,False,False,True,False,False,False,False,False,111.24
2002,Communication,39.78,67.0,Low,123,1,2.0,0.3208064516129032,208.84866767219708,False,False,False,True,False,False,False,False,False,False,False,False,False,False,79.56
2015,Spy,7.46,94.0,Medium,102,1,1.0,0.07242718446601942,1297.8552278820375,False,False,False,False,True,False,False,True,False,False,False,False,False,False,7.46
2009,Communication,29.19,95.0,Low,60,1,1.0,0.47852459016393445,198.52689277149707,True,False,False,False,False,False,False,False,False,False,False,True,False,False,29.19
2025,Communication,19.58,70.0,Medium,32,1,3.0,0.5933333333333333,117.97752808988766,True,True,False,False,False,False,False,True,False,False,False,False,False,False,58.739999999999995
2002,Communication,21.38,69.0,Low,240,1,1.0,0.08871369294605809,777.7829747427503,False,False,False,False,True,False,False,False,False,False,False,False,True,False,21.38
2015,Spy,23.61,95.0,Low,118,3,2.0,0.19840336134453782,478.8225328250741,True,False,False,True,False,True,False,False,False,False,False,False,False,False,47.22
2018,Spy,19.22,57.0,High,242,2,1.0,0.07909465020576131,720.6555671175859,False,False,False,False,True,True,False,False,False,False,False,False,False,False,19.22
2011,Communication,45.14,70.0,Low,109,3,2.0,0.4103636363636364,170.58041648205582,False,False,False,True,False,False,False,False,False,False,True,False,False,False,90.28
2005,Research,37.21,65.0,High,190,3,4.0,0.19481675392670159,333.64686912120396,False,False,True,False,False,False,False,False,False,False,False,False,False,True,148.84
2020,Navigation,46.43,91.0,Medium,156,2,4.0,0.2957324840764331,307.7105319836313,True,False,True,False,False,False,False,False,False,True,False,False,False,False,185.72
2019,Navigation,41.23,62.0,Low,134,1,3.0,0.3054074074074074,203.00751879699249,True,True,False,False,False,True,False,False,False,False,False,False,False,False,123.69
2006,Research,28.96,84.0,Low,9,2,4.0,2.896,29.005524861878452,False,False,True,False,False,True,False,False,False,False,False,False,False,False,115.84
2015,Weather,36.27,92.0,Medium,47,1,1.0,0.7556250000000001,121.75351530190238,False,False,False,False,False,False,False,True,False,False,False,False,False,False,36.27
2011,Navigation,47.63,57.0,Low,27,3,3.0,1.7010714285714286,33.5082930925887,False,True,False,False,False,False,False,False,False,False,True,False,False,False,142.89000000000001
2023,Research,10.38,59.0,Low,146,1,2.0,0.07061224489795918,835.5491329479769,False,False,False,True,False,False,False,False,False,False,False,False,True,False,20.76
2008,Navigation,14.39,96.0,High,188,1,4.0,0.07613756613756614,1260.8756080611536,False,False,True,False,False,False,False,False,False,False,False,True,False,False,57.56
2019,Spy,38.0,67.0,High,128,2,2.0,0.29457364341085274,227.4473684210526,False,False,False,True,False,False,False,False,False,False,False,True,False,False,76.0
2011,Navigation,29.31,56.0,High,305,2,3.0,0.09578431372549019,584.646878198567,True,True,False,False,False,False,True,False,False,False,False,False,False,False,87.92999999999999
2016,Spy,19.86,82.0,Medium,339,2,4.0,0.05841176470588235,1403.8267875125882,True,False,True,False,False,False,False,False,False,False,False,False,False,False,79.44
2011,Research,24.27,59.0,Low,356,1,3.0,0.06798319327731092,867.8615574783684,True,True,False,False,False,False,False,False,False,False,False,False,False,True,72.81
2022,Spy,30.63,86.0,High,101,3,1.0,0.3002941176470588,286.38589618021547,True,False,False,False,True,False,False,False,False,False,False,False,True,False,30.63
2010,Research,4.34,52.0,Medium,223,1,3.0,0.019375,2683.8709677419356,True,True,False,False,False,False,False,False,False,False,False,False,False,True,13.02
2015,Communication,43.68,63.0,Low,312,3,1.0,0.1395527156549521,451.4423076923077,True,False,False,False,True,False,False,False,False,False,False,False,False,False,43.68
2022,Spy,48.11,70.0,Low,206,2,3.0,0.23241545893719806,301.1847848680108,False,True,False,False,False,False,False,False,False,False,False,False,False,True,144.32999999999998
2000,Communication,9.12,72.0,High,365,2,4.0,0.024918032786885244,2889.4736842105267,False,False,True,False,False,False,False,False,False,True,False,False,False,False,36.48
2014,Research,10.94,67.0,Medium,111,3,4.0,0.09767857142857142,685.9232175502743,True,False,True,False,False,False,False,False,False,False,False,False,True,False,43.76
2021,Spy,2.74,79.0,Medium,81,2,3.0,0.033414634146341465,2364.2335766423357,False,True,False,False,False,False,False,False,False,False,True,False,False,False,8.22
2009,Navigation,37.49,88.0,Medium,353,3,1.0,0.10590395480225989,830.9415844225126,False,False,False,False,False,True,False,False,False,False,False,False,False,False,37.49
2025,Navigation,9.9,76.0,Medium,231,3,3.0,0.04267241379310345,1781.010101010101,False,True,False,False,False,False,True,False,False,False,False,False,False,False,29.700000000000003
2012,Weather,28.75,98.0,Medium,153,1,1.0,0.18668831168831168,524.9391304347827,False,False,False,False,False,False,False,False,False,False,True,False,False,False,28.75
2007,Spy,18.52,93.0,Low,73,3,4.0,0.25027027027027027,371.59827213822894,False,False,True,False,False,False,False,False,False,False,False,False,False,False,74.08
2013,Communication,33.33,90.0,High,273,3,4.0,0.12164233576642335,739.8739873987399,False,False,True,False,False,False,False,False,False,False,False,False,True,False,133.32
2025,Navigation,11.3,79.0,High,32,1,2.0,0.34242424242424246,230.70796460176987,False,False,False,True,False,False,False,False,False,False,False,False,False,False,22.6
2019,Research,29.43,93.0,Medium,106,1,2.0,0.27504672897196264,338.12436289500505,False,False,False,True,False,False,False,False,False,False,False,False,True,False,58.86
2017,Navigation,23.07,62.0,Low,55,3,1.0,0.4119642857142857,150.4984828781968,True,False,False,False,True,False,False,False,False,False,False,False,False,False,23.07
2002,Research,6.92,57.0,Low,320,2,1.0,0.021557632398753895,2644.0751445086703,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.92
2011,Research,30.9,86.0,Medium,126,1,1.0,0.24330708661417322,353.46278317152104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30.9
2020,Navigation,38.13,88.0,Low,60,2,1.0,0.6250819672131148,140.7815368476265,True,False,False,False,True,False,False,False,False,False,False,False,False,True,38.13
2008,Navigation,29.3,100.0,Medium,221,1,1.0,0.131981981981982,757.6791808873719,False,False,False,False,False,False,False,False,False,True,False,False,False,False,29.3
2012,Spy,47.41,79.0,Low,68,1,1.0,0.6871014492753623,114.97574351402658,True,False,False,False,False,False,False,False,False,False,True,False,False,False,47.41
2012,Communication,11.09,85.0,Medium,150,3,1.0,0.07344370860927152,1157.3489630297565,False,False,False,False,True,False,False,False,False,False,False,False,False,True,11.09
2025,Weather,33.59,57.0,High,9,3,4.0,3.3590000000000004,16.969336111938073,True,False,True,False,False,False,False,False,False,False,False,True,False,False,134.36
2007,Research,40.03,75.0,High,198,2,1.0,0.20115577889447236,372.84536597551835,True,False,False,False,True,False,False,False,False,False,False,True,False,False,40.03
2009,Navigation,22.06,62.0,High,33,2,3.0,0.6488235294117647,95.55757026291931,False,True,False,False,False,False,False,False,False,False,False,True,False,False,66.17999999999999
2011,Research,48.36,82.0,High,307,1,4.0,0.15701298701298702,522.2497932175352,False,False,True,False,False,False,True,False,False,False,False,False,False,False,193.44
2008,Navigation,13.39,51.0,Low,30,2,2.0,0.43193548387096775,118.07318894697535,True,False,False,True,False,False,False,False,False,False,False,True,False,False,26.78
2019,Weather,42.94,85.0,Medium,108,1,1.0,0.39394495412844033,215.7661853749418,True,False,False,False,True,False,False,False,False,True,False,False,False,False,42.94
2010,Research,17.78,71.0,Medium,151,3,2.0,0.11697368421052633,606.9741282339706,True,False,False,True,False,False,False,False,True,False,False,False,False,False,35.56
2016,Spy,2.35,92.0,Medium,170,3,1.0,0.013742690058479532,6694.468085106383,True,False,False,False,True,False,False,False,False,True,False,False,False,False,2.35
2000,Research,46.87,72.0,Medium,293,2,4.0,0.15942176870748298,451.63217409857054,True,False,True,False,False,False,False,True,False,False,False,False,False,False,187.48
2010,Navigation,38.8,65.0,High,56,2,1.0,0.6807017543859648,95.4896907216495,True,False,False,False,True,False,False,False,False,True,False,False,False,False,38.8
2024,Weather,17.26,75.0,High,327,3,1.0,0.0526219512195122,1425.260718424102,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.26
2012,Communication,47.51,59.0,Low,193,3,1.0,0.24489690721649485,240.91770153651862,False,False,False,False,True,False,False,False,False,False,False,False,True,False,47.51
2020,Communication,4.63,87.0,High,340,1,4.0,0.013577712609970673,6407.5593952483805,False,False,True,False,False,False,False,False,True,False,False,False,False,False,18.52
2008,Navigation,4.94,96.0,Low,293,1,3.0,0.016802721088435377,5713.360323886639,False,True,False,False,False,False,False,False,True,False,False,False,False,False,14.82
2016,Spy,9.66,53.0,High,247,1,1.0,0.03895161290322581,1360.662525879917,True,False,False,False,True,False,False,True,False,False,False,False,False,False,9.66
2017,Research,9.79,74.0,Medium,94,2,1.0,0.10305263157894735,718.079673135853,True,False,False,False,True,False,False,False,False,True,False,False,False,False,9.79
2001,Communication,30.75,81.0,Medium,297,2,1.0,0.10318791946308725,784.9756097560976,True,False,False,False,False,False,False,False,True,False,False,False,False,False,30.75
2016,Weather,13.62,65.0,High,252,2,2.0,0.05383399209486166,1207.4155653450807,False,False,False,True,False,False,False,False,True,False,False,False,False,False,27.24
2003,Navigation,49.91,69.0,Low,327,2,4.0,0.15216463414634146,453.4562211981567,True,False,True,False,False,False,True,False,False,False,False,False,False,False,199.64
2002,Research,1.13,69.0,High,169,3,3.0,0.006647058823529411,10380.530973451328,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3.3899999999999997
2023,Navigation,26.27,93.0,High,111,3,3.0,0.23455357142857142,396.4979063570613,False,True,False,False,False,False,True,False,False,False,False,False,False,False,78.81
2019,Weather,23.27,75.0,Medium,167,1,2.0,0.13851190476190475,541.4697034808767,True,False,False,True,False,False,False,False,False,False,False,False,True,False,46.54
2010,Weather,3.0,53.0,Low,95,2,3.0,0.03125,1696.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,9.0
2012,Weather,4.64,67.0,High,251,2,2.0,0.018412698412698412,3638.793103448276,False,False,False,True,False,False,False,False,False,False,True,False,False,False,9.28
2006,Research,3.1,63.0,Low,270,3,2.0,0.011439114391143913,5507.419354838709,False,False,False,True,False,False,True,False,False,False,False,False,False,False,6.2
2005,Spy,29.13,85.0,Medium,121,1,2.0,0.23877049180327867,355.9903879162376,False,False,False,True,False,False,True,False,False,False,False,False,False,False,58.26
2012,Spy,37.75,96.0,Medium,86,3,1.0,0.4339080459770115,221.24503311258277,False,False,False,False,False,False,False,True,False,False,False,False,False,False,37.75
2011,Research,23.58,87.0,Low,307,3,1.0,0.07655844155844155,1136.3867684478373,True,False,False,False,False,False,False,False,False,False,False,False,False,False,23.58
2024,Communication,23.15,73.0,Medium,66,3,1.0,0.3455223880597015,211.27429805615552,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23.15
2009,Spy,29.97,55.0,Medium,112,2,4.0,0.2652212389380531,207.37404070737404,True,False,True,False,False,False,False,False,False,False,False,False,False,False,119.88
2009,Navigation,19.5,82.0,Low,95,1,1.0,0.203125,403.6923076923077,False,False,False,False,True,False,False,False,True,False,False,False,False,False,19.5
2018,Navigation,7.95,68.0,Medium,64,2,3.0,0.12230769230769231,555.9748427672956,True,True,False,False,False,False,True,False,False,False,False,False,False,False,23.85
2002,Research,14.9,50.0,High,46,3,1.0,0.3170212765957447,157.71812080536913,True,False,False,False,False,False,False,False,False,False,True,False,False,False,14.9
2000,Communication,10.68,57.0,High,105,3,1.0,0.10075471698113207,565.7303370786517,False,False,False,False,True,False,False,False,False,False,False,False,True,False,10.68
2022,Communication,28.96,65.0,Low,328,1,1.0,0.08802431610942249,738.432320441989,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28.96
2018,Weather,28.62,80.0,Low,70,3,4.0,0.4030985915492958,198.4626135569532,False,False,True,False,False,False,False,False,False,False,False,False,False,False,114.48
2015,Research,1.97,85.0,Low,43,3,1.0,0.04477272727272727,1898.4771573604062,True,False,False,False,True,False,False,True,False,False,False,False,False,False,1.97
2000,Spy,7.65,84.0,Low,266,2,1.0,0.02865168539325843,2931.7647058823527,False,False,False,False,True,False,False,True,False,False,False,False,False,False,7.65
2004,Spy,25.21,76.0,Medium,9,3,1.0,2.521,30.146767155890522,False,False,False,False,True,True,False,False,False,False,False,False,False,False,25.21
